# Battleship Game Analysis Results
# Generated: 2025-10-23 12:19:39
# Comparison Type: single-bot

# SUMMARY STATISTICS
Player Name,Random Player
Total Games,10
Average Moves,94.70
Median Moves,96.00
Best Game,87
Worst Game,100
Standard Deviation,4.60
Total Time (s),0.01
Avg Time per Game (s),0.001

# GAME-BY-GAME RESULTS
Game Number,Moves Required
1,99
2,88
3,100
4,91
5,94
6,96
7,87
8,96
9,98
10,98

# MOVE COUNT DISTRIBUTION
Move Range,Game Count,Percentage
≤30 moves,0,0.0%
31-40 moves,0,0.0%
41-50 moves,0,0.0%
51-60 moves,0,0.0%
61-70 moves,0,0.0%
71-80 moves,0,0.0%
81-90 moves,2,20.0%
91+ moves,8,80.0%
