# Battleship Game Analysis Results
# Generated: 2025-10-23 14:03:21
# Comparison Type: three-bot-comparison

# THREE-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Winner
Average Moves,96.42,66.15,59.49,Spaced Random Player
Median Moves,98.00,64.00,57.50,Spaced Random Player
Best Game,75,39,38,Spaced Random Player
Worst Game,100,98,97,Spaced Random Player
Consistency (Std Dev),4.17,15.12,13.06,Random Player
Avg Time per Game,0.00,0.00,0.00,Spaced Random Player
Overall Metric Wins,1,0,5,

# HEAD-TO-HEAD GAME RESULTS
Game Number,Random Player,Random Target Player,Spaced Random Player,Winner
1,97,40,40,Tie
2,99,50,59,Random Target Player
3,89,53,48,Spaced Random Player
4,99,57,38,Spaced Random Player
5,96,61,64,Random Target Player
6,97,56,63,Random Target Player
7,99,73,58,Spaced Random Player
8,93,69,50,Spaced Random Player
9,99,56,62,Random Target Player
10,92,69,46,Spaced Random Player
11,95,61,51,Spaced Random Player
12,100,64,65,Random Target Player
13,100,87,60,Spaced Random Player
14,100,82,59,Spaced Random Player
15,94,83,45,Spaced Random Player
16,97,42,51,Random Target Player
17,100,50,59,Random Target Player
18,91,65,56,Spaced Random Player
19,94,55,50,Spaced Random Player
20,100,53,64,Random Target Player
21,93,46,52,Random Target Player
22,96,75,59,Spaced Random Player
23,100,60,59,Spaced Random Player
24,93,68,52,Spaced Random Player
25,97,72,49,Spaced Random Player
26,100,52,61,Random Target Player
27,99,67,61,Spaced Random Player
28,99,68,47,Spaced Random Player
29,95,57,55,Spaced Random Player
30,99,50,89,Random Target Player
31,99,57,60,Random Target Player
32,98,82,84,Random Target Player
33,85,77,49,Spaced Random Player
34,100,60,57,Spaced Random Player
35,89,51,56,Random Target Player
36,98,42,64,Random Target Player
37,99,59,58,Spaced Random Player
38,88,90,49,Spaced Random Player
39,100,89,50,Spaced Random Player
40,95,57,56,Spaced Random Player
41,97,53,61,Random Target Player
42,100,62,62,Tie
43,97,78,55,Spaced Random Player
44,100,81,63,Spaced Random Player
45,98,84,54,Spaced Random Player
46,92,40,63,Random Target Player
47,99,42,46,Random Target Player
48,96,98,58,Spaced Random Player
49,100,58,88,Random Target Player
50,100,82,61,Spaced Random Player
51,99,94,65,Spaced Random Player
52,94,85,57,Spaced Random Player
53,100,63,48,Spaced Random Player
54,95,67,68,Random Target Player
55,98,53,59,Random Target Player
56,94,79,56,Spaced Random Player
57,92,86,40,Spaced Random Player
58,98,63,50,Spaced Random Player
59,98,77,50,Spaced Random Player
60,99,61,52,Spaced Random Player
61,94,60,58,Spaced Random Player
62,99,91,55,Spaced Random Player
63,100,49,42,Spaced Random Player
64,97,64,89,Random Target Player
65,100,47,84,Random Target Player
66,95,92,57,Spaced Random Player
67,100,97,82,Spaced Random Player
68,97,85,66,Spaced Random Player
69,98,50,53,Random Target Player
70,100,68,58,Spaced Random Player
71,98,54,41,Spaced Random Player
72,99,49,52,Random Target Player
73,84,67,56,Spaced Random Player
74,95,82,52,Spaced Random Player
75,94,64,43,Spaced Random Player
76,100,61,55,Spaced Random Player
77,98,68,67,Spaced Random Player
78,95,56,49,Spaced Random Player
79,98,69,57,Spaced Random Player
80,93,39,64,Random Target Player
81,97,65,41,Spaced Random Player
82,90,59,90,Random Target Player
83,100,75,78,Random Target Player
84,90,48,46,Spaced Random Player
85,75,41,48,Random Target Player
86,94,69,65,Spaced Random Player
87,100,67,55,Spaced Random Player
88,99,87,57,Spaced Random Player
89,97,91,62,Spaced Random Player
90,99,64,62,Spaced Random Player
91,99,91,97,Random Target Player
92,100,52,54,Random Target Player
93,98,73,48,Spaced Random Player
94,93,98,63,Spaced Random Player
95,98,55,85,Random Target Player
96,89,58,65,Random Target Player
97,94,66,66,Tie
98,97,74,85,Random Target Player
99,100,86,94,Random Target Player
100,100,73,97,Random Target Player

# WIN STATISTICS
Random Player Game Wins,0
Random Player Win Rate,0.0%
Random Target Player Game Wins,36
Random Target Player Win Rate,36.0%
Spaced Random Player Game Wins,61
Spaced Random Player Win Rate,61.0%

# HEAD-TO-HEAD WIN RATES
Random Player vs Random Target Player,3/100 (3.0%)
Random Player vs Spaced Random Player,0/100 (0.0%)
Random Target Player vs Spaced Random Player,36/100 (36.0%)

# PERFORMANCE IMPROVEMENTS vs Random Player
Random Target Player Improvement,31.4%
Spaced Random Player Improvement,38.3%
