# Battleship Game Analysis Results
# Generated: 2025-10-24 10:59:57
# Comparison Type: 5-bot-comparison

# 5-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Probability Player,Optimized Monte Carlo Player,Winner
Average Moves,95.39,63.50,54.52,50.52,49.93,Optimized Monte Carlo Player
Median Moves,96.00,64.00,53.00,51.00,51.00,Probability Player
Best Game,82,34,31,32,27,Optimized Monte Carlo Player
Worst Game,100,95,96,69,67,Optimized Monte Carlo Player
Consistency (Std Dev),4.12,15.97,13.04,9.07,9.82,Random Player
Avg Time per Game,0.00,0.01,0.01,0.03,1.90,Random Player
Overall Metric Wins,2,0,0,1,3,

# HEAD-TO-HEAD GAME RESULTS
Game Number,Random Player,Random Target Player,Spaced Random Player,Probability Player,Optimized Monte Carlo Player,Winner
1,95,91,88,57,51,Optimized Monte Carlo Player
2,98,90,59,54,52,Optimized Monte Carlo Player
3,88,94,66,44,58,Probability Player
4,100,57,49,47,50,Probability Player
5,95,65,51,45,62,Probability Player
6,94,79,56,51,51,Tie
7,93,61,50,54,51,Spaced Random Player
8,99,59,60,37,31,Optimized Monte Carlo Player
9,99,49,52,55,46,Optimized Monte Carlo Player
10,97,70,44,57,39,Optimized Monte Carlo Player
11,84,56,76,51,64,Probability Player
12,89,85,65,54,67,Probability Player
13,98,76,41,49,54,Spaced Random Player
14,99,71,59,34,35,Probability Player
15,94,70,50,55,34,Optimized Monte Carlo Player
16,82,94,55,46,27,Optimized Monte Carlo Player
17,100,35,54,55,33,Optimized Monte Carlo Player
18,97,41,34,44,51,Spaced Random Player
19,100,44,44,32,56,Probability Player
20,89,47,42,53,61,Spaced Random Player
21,99,59,86,66,55,Optimized Monte Carlo Player
22,100,51,37,50,45,Spaced Random Player
23,96,64,39,56,50,Spaced Random Player
24,92,50,48,37,51,Probability Player
25,99,76,42,46,34,Optimized Monte Carlo Player
26,98,64,45,35,59,Probability Player
27,97,79,58,53,46,Optimized Monte Carlo Player
28,95,55,56,37,64,Probability Player
29,87,58,50,68,48,Optimized Monte Carlo Player
30,96,55,45,68,49,Spaced Random Player
31,97,52,41,39,56,Probability Player
32,94,64,49,56,41,Optimized Monte Carlo Player
33,95,75,56,37,37,Tie
34,89,67,32,56,66,Spaced Random Player
35,95,64,52,47,43,Optimized Monte Carlo Player
36,100,57,53,49,38,Optimized Monte Carlo Player
37,98,87,47,63,54,Spaced Random Player
38,91,95,53,56,56,Spaced Random Player
39,99,87,55,42,67,Probability Player
40,98,65,41,51,46,Spaced Random Player
41,97,69,53,62,32,Optimized Monte Carlo Player
42,99,93,54,61,48,Optimized Monte Carlo Player
43,91,53,61,37,38,Probability Player
44,98,47,38,49,46,Spaced Random Player
45,94,74,47,47,51,Tie
46,99,73,45,53,66,Spaced Random Player
47,98,72,48,57,67,Spaced Random Player
48,97,78,47,68,67,Spaced Random Player
49,89,75,61,54,49,Optimized Monte Carlo Player
50,92,44,64,40,44,Probability Player
51,94,63,49,56,48,Optimized Monte Carlo Player
52,87,70,34,34,62,Tie
53,99,37,54,45,47,Random Target Player
54,89,44,55,51,61,Random Target Player
55,95,73,69,42,67,Probability Player
56,99,55,61,34,48,Probability Player
57,93,78,59,62,32,Optimized Monte Carlo Player
58,99,52,93,54,47,Optimized Monte Carlo Player
59,99,71,96,41,53,Probability Player
60,93,61,55,54,51,Optimized Monte Carlo Player
61,96,66,63,36,58,Probability Player
62,100,61,66,61,51,Optimized Monte Carlo Player
63,98,34,95,50,60,Random Target Player
64,93,79,54,45,44,Optimized Monte Carlo Player
65,98,53,40,69,50,Spaced Random Player
66,90,67,53,37,55,Probability Player
67,99,53,49,47,50,Probability Player
