DATE,TIME,TOTAL MOVES,GAME TIME
2025-09-19,18:16:20,54,04:57
2025-09-19,18:21:36,36,03:26
2025-09-19,18:26:54,40,04:08
2025-09-19,18:31:02,45,03:26
2025-09-19,18:36:32,41,04:15
2025-09-19,18:46:06,59,05:50
2025-09-19,18:55:45,37,03:27
2025-09-19,19:00:18,42,03:32
2025-09-19,19:06:13,51,05:18
2025-09-19,19:13:59,58,06:26
2025-09-19,19:21:29,50,06:44
2025-09-19,19:26:55,48,04:53
2025-09-19,19:33:42,55,06:08
2025-09-19,19:40:40,54,06:11
2025-09-19,19:47:12,53,05:48
2025-09-19,19:52:40,47,04:42
2025-09-19,19:58:52,40,05:05
2025-09-19,20:04:04,47,04:29
2025-09-19,20:08:49,46,03:58
2025-09-19,20:14:05,43,04:07
2025-09-19,20:19:03,43,04:19
2025-09-19,20:23:23,43,03:26
2025-09-19,20:29:02,52,04:42
2025-09-19,20:35:34,60,05:45
2025-09-19,20:40:46,49,04:26
2025-09-19,20:48:39,55,07:05
2025-09-19,20:53:20,42,03:58
2025-09-19,20:58:32,46,04:09
2025-09-19,21:05:07,57,05:43
2025-09-19,21:13:42,32,07:38
2025-09-19,21:22:19,54,06:59
2025-09-19,21:27:26,50,04:09
2025-09-19,21:31:25,31,02:53
2025-09-19,21:37:56,57,05:44
2025-09-19,21:42:42,46,04:01
2025-09-19,21:49:28,48,06:01
2025-09-19,22:03:41,46,04:02
2025-09-19,22:08:45,38,04:00
2025-09-19,22:14:40,55,05:12
2025-09-19,22:21:33,53,06:00
2025-09-19,22:30:11,62,07:38
2025-09-19,22:38:51,50,04:24
2025-09-19,22:44:48,55,04:48
2025-09-19,22:49:13,40,03:44
2025-09-19,22:52:59,43,03:07
2025-09-19,22:58:42,50,04:18
2025-09-19,23:03:38,54,04:15
2025-09-19,23:07:57,35,03:14
2025-09-19,23:16:50,61,08:03
2025-09-19,23:21:15,43,03:26
2025-09-19,23:27:31,57,05:33
2025-09-19,23:33:20,48,04:26
2025-09-19,23:39:25,57,05:25
2025-09-19,23:44:42,49,04:34
2025-09-19,23:45:24,0,00:37
2025-09-19,23:52:20,57,06:14
