Game_Number,Moves_To_Win
1,75
2,64
3,83
4,71
5,69
6,58
7,78
8,93
9,70
10,74
11,90
12,68
13,75
14,70
15,62
16,65
17,79
18,70
19,87
20,78
21,95
22,82
23,75
24,74
25,77
26,63
27,54
28,99
29,81
30,94
31,60
32,52
33,68
34,60
35,79
36,76
37,80
38,72
39,77
40,39
41,92
42,77
43,48
44,77
45,88
46,73
47,65
48,63
49,60
50,41
51,80
52,69
53,75
54,53
55,44
56,82
57,98
58,52
59,87
60,54
61,68
62,56
63,81
64,55
65,99
66,86
67,79
68,65
69,59
70,82
71,52
72,45
73,97
74,49
75,57
76,80
77,52
78,58
79,90
80,64
81,66
82,76
83,72
84,63
85,89
86,47
87,26
88,63
89,70
90,74
91,61
92,79
93,72
94,99
95,80
96,61
97,60
98,68
99,77
100,49
101,53
102,61
103,86
104,71
105,68
106,49
107,80
108,90
109,86
110,62
111,84
112,54
113,58
114,93
115,71
116,64
117,65
118,96
119,52
120,43
121,42
122,69
123,53
124,60
125,80
126,65
127,43
128,68
129,71
130,80
131,40
132,71
133,54
134,52
135,67
136,95
137,61
138,100
139,78
140,81
141,71
142,48
143,86
144,89
145,94
146,97
147,63
148,59
149,50
150,70
151,59
152,63
153,61
154,76
155,67
156,74
157,83
158,72
159,47
160,47
161,84
162,63
163,46
164,72
165,59
166,69
167,79
168,59
169,58
170,63
171,69
172,72
173,64
174,57
175,78
176,97
177,54
178,75
179,64
180,82
181,53
182,78
183,50
184,51
185,82
186,57
187,53
188,45
189,93
190,87
191,55
192,52
193,97
194,57
195,80
196,53
197,66
198,38
199,60
200,65
201,59
202,66
203,51
204,76
205,48
206,72
207,59
208,80
209,65
210,59
211,100
212,84
213,81
214,63
215,75
216,73
217,50
218,80
219,70
220,60
221,66
222,59
223,90
224,78
225,90
226,90
227,81
228,92
229,99
230,69
231,71
232,46
233,70
234,73
235,41
236,74
237,84
238,64
239,63
240,68
241,71
242,78
243,54
244,64
245,45
246,57
247,86
248,72
249,66
250,62
251,51
252,74
253,48
254,76
255,60
256,46
257,55
258,74
259,60
260,56
261,76
262,76
263,89
264,71
265,60
266,45
267,72
268,70
269,51
270,92
271,67
272,71
273,52
274,82
275,56
276,98
277,86
278,83
279,81
280,82
281,89
282,85
283,44
284,66
285,79
286,68
287,75
288,84
289,63
290,64
291,64
292,69
293,71
294,76
295,56
296,60
297,61
298,100
299,75
300,83
301,88
302,52
303,73
304,48
305,60
306,55
307,66
308,97
309,57
310,42
311,97
312,82
313,85
314,70
315,51
316,81
317,94
318,83
319,96
320,63
321,49
322,55
323,50
324,65
325,81
326,56
327,97
328,90
329,55
330,84
331,61
332,61
333,66
334,64
335,66
336,79
337,50
338,56
339,78
340,89
341,51
342,71
343,64
344,59
345,41
346,56
347,94
348,90
349,70
350,55
351,62
352,87
353,40
354,96
355,46
356,69
357,74
358,34
359,77
360,94
361,60
362,83
363,59
364,84
365,65
366,71
367,48
368,82
369,67
370,58
371,58
372,89
373,64
374,92
375,67
376,82
377,51
378,58
379,63
380,92
381,74
382,66
383,77
384,62
385,74
386,58
387,67
388,71
389,84
390,60
391,78
392,58
393,68
394,70
395,61
396,85
397,58
398,82
399,68
400,52
401,45
402,52
403,69
404,88
405,51
406,56
407,84
408,80
409,48
410,84
411,72
412,88
413,50
414,88
415,91
416,89
417,39
418,77
419,79
420,82
421,78
422,65
423,60
424,66
425,59
426,67
427,54
428,53
429,76
430,39
431,60
432,59
433,86
434,59
435,52
436,94
437,78
438,91
439,52
440,41
441,58
442,52
443,74
444,62
445,71
446,59
447,50
448,73
449,50
450,56
451,76
452,57
453,44
454,85
455,52
456,38
457,97
458,67
459,67
460,92
461,75
462,82
463,81
464,63
465,75
466,41
467,83
468,64
469,64
470,80
