Game_Number,Moves_To_Win
1,99
2,87
3,100
4,91
5,99
6,92
7,89
8,99
9,93
10,99
11,100
12,97
13,96
14,100
15,98
16,89
17,90
18,95
19,96
20,95
21,89
22,94
23,93
24,97
25,99
26,100
27,96
28,97
29,99
30,92
31,92
32,94
33,94
34,100
35,78
36,87
37,97
38,99
39,99
40,90
41,96
42,73
43,96
44,97
45,96
46,95
47,95
48,97
49,100
50,98
51,98
52,96
53,90
54,79
55,92
56,98
57,97
58,94
59,100
60,99
61,99
62,99
63,97
64,86
65,96
66,99
67,89
68,94
69,95
70,98
71,98
72,98
73,93
74,95
75,97
76,98
77,97
78,99
79,99
80,100
81,98
82,99
83,80
84,97
85,95
86,94
87,100
88,100
89,100
90,95
91,97
92,94
93,98
94,98
95,98
96,92
97,98
98,99
99,98
100,92
101,100
102,80
103,96
104,100
105,93
106,97
107,98
108,99
109,99
110,97
111,100
112,100
113,93
114,97
115,87
116,85
117,95
118,93
119,99
120,97
121,90
122,97
123,94
124,98
125,99
126,96
127,93
128,95
129,91
130,92
131,98
132,100
133,97
134,99
135,98
136,99
137,97
138,82
139,99
140,86
141,89
142,89
143,94
144,100
145,96
146,96
147,94
148,91
149,98
150,96
151,98
152,87
153,95
154,99
155,99
156,94
157,99
158,96
159,100
160,95
161,90
162,98
163,93
164,99
165,92
166,100
167,98
168,96
169,93
170,99
171,98
172,95
173,95
174,93
175,99
176,100
177,98
178,96
179,100
180,99
181,89
182,93
183,99
184,96
185,97
186,97
187,98
188,94
189,94
190,97
191,99
192,98
193,100
194,95
195,96
196,100
197,99
198,89
199,95
200,96
201,99
202,99
203,95
204,96
205,99
206,96
207,98
208,100
209,97
210,96
211,99
212,91
213,100
214,100
215,99
216,93
217,87
218,96
219,98
220,99
221,94
222,99
223,97
224,97
225,96
226,98
227,92
228,99
229,95
230,94
231,99
232,97
233,93
234,93
235,93
236,95
237,99
238,76
239,91
240,100
241,99
242,100
243,95
244,96
245,97
246,93
247,89
248,91
249,100
250,89
251,98
252,97
253,92
254,95
255,97
256,100
257,98
258,98
259,97
260,100
261,90
262,80
263,99
264,94
265,98
266,99
267,92
268,96
269,97
270,87
271,95
272,98
273,100
274,82
275,88
276,100
277,86
278,99
279,98
280,82
281,91
282,99
283,96
284,91
285,70
286,100
287,91
288,91
289,97
290,97
291,86
292,96
293,87
294,99
295,100
296,95
297,93
298,92
299,96
300,99
301,92
302,97
303,89
304,91
305,93
306,100
307,89
308,92
309,97
310,98
311,89
312,93
313,87
314,92
315,84
316,97
317,95
318,97
319,93
320,92
321,99
322,92
323,88
324,93
325,99
326,97
327,100
328,97
329,94
330,97
331,100
332,100
333,98
334,96
335,100
336,98
337,100
338,99
339,99
340,97
341,97
342,96
343,96
344,99
345,89
346,97
347,87
348,96
349,97
350,95
351,88
352,100
353,96
354,100
355,95
356,98
357,90
358,100
359,94
360,96
361,92
362,84
363,97
364,100
365,99
366,100
367,94
368,81
369,100
370,96
371,98
372,90
373,96
374,92
375,96
376,98
377,96
378,98
379,94
380,90
381,99
382,99
383,95
384,90
385,99
386,100
387,95
388,99
389,88
390,96
